iter	Passed	Remaining
487	594	623
488	595	622
489	596	621
490	598	620
491	599	619
492	601	618
493	602	617
494	603	615
495	604	614
496	605	613
497	606	611
498	607	610
499	608	608
500	610	607
501	611	606
502	612	604
503	613	603
504	614	602
505	615	601
506	616	599
507	617	598
508	618	597
509	620	595
510	620	594
511	622	593
512	623	591
513	625	591
514	626	589
515	627	588
516	628	587
517	629	586
518	631	584
519	632	583
520	632	581
521	634	580
522	635	579
523	636	577
524	637	577
525	639	575
526	639	574
527	641	573
528	642	571
529	643	570
530	644	569
531	646	568
532	647	567
533	648	565
534	649	564
535	650	563
536	651	562
537	653	560
538	654	559
539	655	558
540	656	557
541	658	556
542	659	554
543	660	553
544	661	552
545	662	551
546	663	549
547	665	548
548	666	547
549	667	546
550	668	545
551	670	543
552	671	542
553	672	541
554	673	540
555	675	539
556	676	537
557	677	536
558	678	534
559	678	533
560	679	531
561	680	530
562	681	529
563	682	527
564	683	526
565	684	524
566	686	524
567	687	523
568	688	521
569	689	520
570	690	518
571	692	517
572	693	516
573	694	515
574	695	513
575	695	512
576	696	510
577	698	509
578	699	508
579	700	507
580	701	505
581	702	504
582	703	502
583	704	501
584	705	500
585	706	499
586	707	497
587	708	496
588	709	495
589	710	494
590	712	492
591	713	491
592	714	490
593	715	488
594	716	487
595	717	486
596	718	485
597	719	483
598	720	482
599	721	480
600	722	479
601	723	478
602	724	477
603	725	475
604	726	474
605	727	473
606	728	471
607	729	470
608	730	469
609	731	467
610	732	466
611	733	464
612	734	463
613	734	461
614	735	460
615	737	459
616	737	458
617	738	456
618	739	455
619	740	454
620	741	452
621	742	451
622	744	450
623	745	448
624	746	447
625	747	446
626	748	445
627	749	444
628	750	442
629	751	441
630	752	440
631	753	438
632	754	437
633	756	436
634	757	435
635	757	433
636	758	432
637	759	431
638	760	429
639	762	428
640	762	427
641	764	426
642	765	424
643	766	423
644	767	422
645	768	421
646	769	420
647	770	418
648	771	417
649	772	416
650	773	414
651	774	413
652	775	412
653	776	411
654	778	409
655	778	408
656	779	407
657	780	405
658	781	404
659	782	403
660	783	401
661	784	400
662	785	399
663	786	397
664	786	396
665	787	395
666	789	393
667	789	392
668	790	391
669	792	390
670	793	388
671	794	387
672	794	386
673	796	385
674	797	383
675	798	382
676	798	381
677	799	379
678	801	378
679	802	377
680	803	376
681	804	374
682	804	373
683	805	372
684	806	371
685	807	369
686	808	368
687	809	367
688	810	365
689	811	364
690	812	363
691	813	362
692	814	360
693	815	359
694	816	358
695	817	357
696	818	355
697	819	354
698	820	353
699	821	352
700	822	350
701	823	349
702	824	348
703	825	347
704	827	346
705	828	344
706	829	343
707	830	342
708	831	341
709	832	340
710	833	338
711	834	337
712	835	336
713	836	335
714	837	333
715	839	332
716	840	331
717	841	330
718	842	329
719	843	328
720	844	326
721	845	325
722	846	324
723	847	322
724	848	321
725	849	320
726	850	319
727	851	318
728	852	317
729	853	315
730	854	314
731	856	313
732	857	312
733	858	311
734	859	309
735	860	308
736	861	307
737	862	306
738	863	304
739	864	303
740	865	302
741	866	301
742	867	300
743	868	298
744	869	297
745	870	296
746	871	295
747	872	293
748	873	292
749	874	291
750	875	290
751	876	288
752	877	287
753	877	286
754	878	285
755	880	284
756	881	282
757	882	281
758	883	280
759	884	279
760	886	278
761	887	277
762	888	276
763	889	274
764	890	273
765	891	272
766	892	271
767	893	270
768	894	268
769	895	267
770	896	266
771	897	265
772	898	263
773	899	262
774	900	261
775	901	260
776	902	259
777	903	257
778	904	256
779	905	255
780	906	254
781	907	253
782	908	251
783	909	250
784	910	249
785	911	248
786	912	247
787	913	245
788	914	244
789	916	243
790	918	242
791	919	241
792	920	240
793	922	239
794	923	238
795	924	237
796	925	235
797	926	234
798	927	233
799	929	232
800	930	231
801	931	230
802	932	228
803	934	227
804	935	226
805	937	225
806	938	224
807	939	223
808	941	222
809	942	221
810	943	219
811	944	218
812	945	217
813	946	216
814	947	215
815	948	213
816	949	212
817	950	211
818	951	210
819	952	209
820	953	207
821	954	206
822	955	205
823	956	204
824	957	203
825	958	201
826	959	200
827	960	199
828	961	198
829	961	197
830	962	195
831	963	194
832	964	193
833	966	192
834	967	191
835	968	189
836	969	188
837	971	187
838	972	186
839	973	185
840	974	184
841	975	183
842	976	181
843	977	180
844	979	179
845	980	178
846	981	177
847	982	176
848	984	175
849	985	173
850	986	172
851	987	171
852	988	170
853	989	169
854	991	168
855	992	167
856	993	165
857	994	164
858	995	163
859	996	162
860	997	161
861	998	159
862	999	158
863	1000	157
864	1002	156
865	1003	155
866	1004	154
867	1005	152
868	1006	151
869	1007	150
870	1007	149
871	1008	148
872	1010	146
873	1011	145
874	1012	144
875	1013	143
876	1014	142
877	1015	141
878	1016	139
879	1017	138
880	1018	137
881	1019	136
882	1021	135
883	1022	134
884	1023	132
885	1024	131
886	1025	130
887	1027	129
888	1028	128
889	1029	127
890	1030	126
891	1031	124
892	1033	123
893	1034	122
894	1035	121
895	1037	120
896	1038	119
897	1049	119
898	1050	118
899	1052	116
900	1053	115
901	1054	114
902	1055	113
903	1056	112
904	1057	110
905	1058	109
906	1059	108
907	1060	107
908	1061	106
909	1062	105
910	1063	103
911	1065	102
912	1066	101
913	1067	100
914	1068	99
915	1069	98
916	1070	96
917	1072	95
918	1073	94
919	1074	93
920	1075	92
921	1076	91
922	1077	89
923	1078	88
924	1079	87
925	1080	86
926	1081	85
927	1083	84
928	1084	82
929	1086	81
930	1087	80
931	1088	79
932	1089	78
933	1091	77
934	1093	75
935	1094	74
936	1096	73
937	1097	72
938	1098	71
939	1099	70
940	1100	68
941	1101	67
942	1102	66
943	1103	65
944	1104	64
945	1105	63
946	1106	61
947	1107	60
948	1108	59
949	1110	58
950	1111	57
951	1112	56
952	1113	54
953	1114	53
954	1115	52
955	1116	51
956	1117	50
957	1118	49
958	1119	47
959	1120	46
960	1121	45
961	1122	44
962	1123	43
963	1124	42
964	1125	40
965	1126	39
966	1127	38
967	1128	37
968	1129	36
969	1130	34
970	1131	33
971	1132	32
972	1133	31
973	1134	30
974	1135	29
975	1136	27
976	1137	26
977	1138	25
978	1139	24
979	1140	23
980	1141	22
981	1142	20
982	1143	19
983	1144	18
984	1145	17
985	1146	16
986	1147	15
987	1148	13
988	1149	12
989	1150	11
990	1151	10
991	1152	9
992	1153	8
993	1154	6
994	1155	5
995	1156	4
996	1157	3
997	1158	2
998	1159	1
999	1160	0
